CODE;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
NAP260;macrofyten 2014;NL11;;;M14;136172;477878;;;plas;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT_MACFTOZ_VASTECOMACFT;MACFTOZ;KRW_Onderzoek;Onderzoek;HYBI;HYBI;Water;3100;3100-EAG-4;NL11_4_1
NAP261;macrofyten 2014;NL11;;;M14;136663;478020;;;plas;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT_MACFTOZ_VASTECOMACFT;MACFTOZ;KRW_Onderzoek;Onderzoek;HYBI;HYBI;Water;48;3100-EAG-4;NL11_4_1
NAP262;macrofyten 2014;NL11;;;M14;137573;477480;;;plas;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT_MACFTOZ_NAARDERMEER-BUFFERZONE-BC_VASTECOMACFT;MACFTOZ;KRW_Onderzoek;Onderzoek;BODCHEM_HYBI;HYBI;Water;3100;3100-EAG-5;NL11_4_1
PMW462;macrofyten 2014;NL11;;;M27;133651;462219;;;plas;;MACFTEM_MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;MACFTEM;Evaluatie_KRW;Evaluatie;HYBI;HYBI;Water;48;3360-EAG-10;NL11_6_10
PMW463;macrofyten 2014;NL11;;;M25;132243.0108;462523.4492;;;plas_dras;;MACFTGBD;;KRW;;HYBI;;Water;3360;3360-EAG-4;
PMW464;macrofyten 2014;NL11;;;M25;132156;462733;;;plas_dras;;MACFTGBD;;KRW;;HYBI;;Water;48;3360-EAG-4;
PMW465;macrofyten 2014;NL11;;;M25;131628;462560;;;plas_dras;;MACFTGBD;;KRW;;HYBI;;Water;3360;3360-EAG-4;
PMW466;macrofyten 2014;NL11;;;M25;132354;462384;;;plas_dras;;MACFTGBD;;KRW;;HYBI;;Water;48;3360-EAG-4;
PMW467;macrofyten 2014;NL11;;;M25;132247;462166;;;plas_dras;;MACFTGBD;;KRW;;HYBI;;Water;3360;3360-EAG-4;
PMW468;macrofyten 2014;NL11;;;M25;132533;462222;;;plas_dras;;MACFTGBD;;KRW;;HYBI;;Water;48;3360-EAG-4;
PMW469;macrofyten 2014;NL11;;;M27;133639;462532;;;lijnvormig;;MACFTKRW;;KRW;;HYBI;;Water;3360;3360-EAG-10;NL11_6_10
PZH145;macrofyten 2014;NL11;;;M1a;116692;466476;;;plas_dras;20200219: bij droogval iets verplaatsen;MACFTGBD;MACFTGBD;KRW;KRW;HYBI;HYBI;Veen;2600;2600-EAG-9;
PZH146;macrofyten 2014;NL11;;;M1a;116261;465827;;;plas_dras;H20170821: In dien droog of volledig verruigd de dichtstbijzijnde waterlijn zoeken van de plas;MACFTGBD;MACFTGBD;KRW;KRW;HYBI;HYBI;Veen;47;2600-EAG-9;
PZH147;macrofyten 2014;NL11;;;M1a;116460;465332;;;plas_dras;;MACFTGBD;MACFTGBD;KRW;KRW;HYBI;HYBI;Veen;2600;2600-EAG-9;
PZH148;macrofyten 2014;NL11;;;M1a;116843;466040;;;plas_dras;;MACFTGBD;MACFTGBD;KRW;KRW;HYBI;HYBI;Veen;47;2600-EAG-9;
PZH149;macrofyten 2014;NL11;;;M1a;116666;465545;;;plas_dras;;MACFTGBD;MACFTGBD;KRW;KRW;HYBI;HYBI;Veen;2600;2600-EAG-9;
