"locatie";"XCOORD";"YCOORD";"EAGIDENT";"trend_beschr";"pvalue";"slope"
"151";"PMW052";136645;463832;"3360-EAG-17";"CHLFa blijft gelijk in de tijd op meetlocatie PMW052.";0.134006174324783;-0.0855683528414785
"152";"PMW057";136294;464589;"3360-EAG-19";"CHLFa blijft gelijk in de tijd op meetlocatie PMW057.";0.000248636407879115;0.257720538467188
"153";"PMW058";134460;461537;"3360-EAG-11";"CHLFa blijft gelijk in de tijd op meetlocatie PMW058.";0.282610919057586;0.0878843546213841
"154";"PMW060";134460;461537;"3360-EAG-11";"CHLFa blijft gelijk in de tijd op meetlocatie PMW060.";0.0124805585503253;0.213850481677464
"155";"PMW065";134460;461537;"3360-EAG-11";"CHLFa blijft gelijk in de tijd op meetlocatie PMW065.";0.0559541349050746;0.173887205495871
"156";"PMW066";134460;461537;"3360-EAG-11";"CHLFa blijft gelijk in de tijd op meetlocatie PMW066.";0.0121215603839368;0.198363391574209
"157";"PMW073";133030;460718;"3360-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie PMW073.";0.23997174231797;0.109866490032982
"158";"PMW074";131810;462648;"3360-EAG-4";"CHLFa blijft gelijk in de tijd op meetlocatie PMW074.";0.567826344555017;-0.0565193570032123
"159";"PMW079";133085;460879;"3360-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PMW079.";0.446645363385551;0.087834400420116
"160";"PMW080";135049;460793;"3360-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PMW080.";0.0716783088788151;0.207593332310641
"161";"PMW406";134384;462471;"3360-EAG-13";"CHLFa blijft gelijk in de tijd op meetlocatie PMW406.";0.809983934669912;0.0168434124204164
"162";"PNR006";129531;462278;"6550-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PNR006.";0.0528300138996133;-0.110298883320258
"163";"POG001";123720.4774;466682.779;"2505-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie POG001.";0.0808172925430874;0.144708989077741
"164";"PRH001";123488;476146;"2400-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PRH001.";1.03743773215429e-06;0.270968353440489
"165";"PTB001";117163;469699;"2504-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PTB001.";0.0436047148742771;0.111185196705311
"166";"PWH001";125298;476729;"2410-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PWH001.";0.0116409829375576;0.140497081652879
"167";"PWV003";121774;467427;"2503-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PWV003.";0.434402444043659;-0.0442998396044228
"168";"PZH001";116599;466774;"2600-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PZH001.";0.454530815965853;0.0409613975345199
"169";"RKP001";117178;482932;"8080-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie RKP001.";1.77976707128301e-08;-0.357654476045171
"170";"RKP012";114525;483782;"8080-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie RKP012.";0.617800902985306;-0.0314179420125669
"171";"SAP010";134175;475852;"3201-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie SAP010.";8.66311743897304e-05;-0.20833099138318
